Percentage served,Time in ms
0,1.670
1,2.217
2,2.292
3,2.329
4,2.353
5,2.372
6,2.388
7,2.401
8,2.413
9,2.424
10,2.435
11,2.446
12,2.456
13,2.465
14,2.475
15,2.486
16,2.497
17,2.508
18,2.519
19,2.531
20,2.542
21,2.553
22,2.566
23,2.578
24,2.590
25,2.604
26,2.616
27,2.629
28,2.643
29,2.656
30,2.669
31,2.682
32,2.695
33,2.709
34,2.723
35,2.737
36,2.751
37,2.765
38,2.779
39,2.793
40,2.807
41,2.821
42,2.835
43,2.851
44,2.867
45,2.883
46,2.900
47,2.918
48,2.936
49,2.958
50,2.980
51,3.003
52,3.027
53,3.054
54,3.078
55,3.103
56,3.130
57,3.159
58,3.189
59,3.218
60,3.248
61,3.278
62,3.310
63,3.341
64,3.373
65,3.405
66,3.439
67,3.474
68,3.509
69,3.545
70,3.584
71,3.625
72,3.666
73,3.714
74,3.759
75,3.809
76,3.859
77,3.906
78,3.962
79,4.024
80,4.091
81,4.163
82,4.234
83,4.306
84,4.378
85,4.450
86,4.525
87,4.611
88,4.690
89,4.781
90,4.895
91,5.001
92,5.108
93,5.241
94,5.405
95,5.527
96,5.658
97,5.824
98,6.086
99,6.469
100,10.164
